host_is_superhost,host is superhost and cancellation policy,cancellation_policy,beach essentials vs family/kid friendly,first aid kit,host listings count vs cancellation policy,host_total_listings_count,host_listings_count,host listings count and pets allowed,pets allowed,pets allowed to host listings count,instant_bookable,beach essentials,property_type
0,0,3,-1,1,1.0,4.0,4.0,0.0,0,0.0,0,0,1
1,3,3,0,1,469.0,472.0,472.0,0.0,0,0.0,0,0,29
1,3,3,-1,1,3.0,6.0,6.0,0.0,0,0.0,0,0,23
1,1,1,1,1,9.0,10.0,10.0,0.0,0,0.0,0,1,23
1,1,1,1,1,2.0,3.0,3.0,0.0,0,0.0,1,1,14
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,4,-1,0,40.0,44.0,44.0,0.0,0,0.0,1,0,14
1,1,1,1,1,1.0,2.0,2.0,0.0,0,0.0,0,1,1
1,1,1,0,1,5.0,6.0,6.0,0.0,0,0.0,1,0,1
1,3,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,0,23
0,0,2,-1,0,936.0,938.0,938.0,0.0,0,0.0,1,0,1
1,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,1,0,19
0,0,1,0,0,0.0,1.0,1.0,0.0,0,0.0,0,0,20
0,0,3,-1,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,23
1,5,5,-1,0,163.0,168.0,168.0,168.0,1,0.005917159763313609,1,0,32
0,0,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,3,-1,1,-1.0,2.0,2.0,0.0,0,0.0,1,0,23
1,1,1,-1,1,0.0,1.0,1.0,0.0,0,0.0,1,0,23
1,1,1,0,1,2.0,3.0,3.0,0.0,0,0.0,0,1,23
1,3,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,0,3
0,0,3,0,1,0.0,3.0,3.0,0.0,0,0.0,0,0,23
0,0,3,0,1,1.0,4.0,4.0,4.0,1,0.2,0,0,19
1,1,1,0,1,4.0,5.0,5.0,0.0,0,0.0,0,0,23
1,1,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,1,1
1,1,1,0,1,13.0,14.0,14.0,0.0,0,0.0,1,0,1
1,3,3,-1,1,2.0,5.0,5.0,0.0,0,0.0,1,0,23
1,1,1,0,1,4.0,5.0,5.0,0.0,0,0.0,1,0,1
0,0,3,-1,1,15.0,18.0,18.0,18.0,1,0.05263157894736842,0,0,1
0,0,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,23
1,3,3,0,0,-1.0,2.0,2.0,0.0,0,0.0,1,0,20
0,0,0,1,1,1.0,1.0,1.0,1.0,1,0.5,1,1,23
0,0,3,0,0,37.0,40.0,40.0,0.0,0,0.0,0,0,1
0,0,3,-1,0,44.0,47.0,47.0,0.0,0,0.0,1,0,23
0,0,3,0,1,-2.0,1.0,1.0,0.0,0,0.0,0,0,19
0,0,3,0,0,8.0,11.0,11.0,0.0,0,0.0,1,0,23
1,3,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,0,20
0,0,1,0,1,1.0,2.0,2.0,0.0,0,0.0,0,0,23
1,1,1,1,1,7.0,8.0,8.0,0.0,0,0.0,1,1,15
1,1,1,0,1,1.0,2.0,2.0,0.0,0,0.0,0,0,23
1,1,1,-1,0,1.0,2.0,2.0,0.0,0,0.0,0,0,20
0,0,0,0,0,12.0,12.0,12.0,0.0,0,0.0,1,1,1
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,0,0,25
0,0,3,0,1,733.0,736.0,736.0,0.0,0,0.0,1,0,1
0,0,0,0,1,1.0,1.0,1.0,0.0,0,0.0,1,0,23
0,0,3,-1,1,10.0,13.0,13.0,0.0,0,0.0,1,0,14
0,0,1,0,0,0.0,1.0,1.0,1.0,1,0.5,0,0,14
1,3,3,-1,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,15
0,0,5,0,0,-4.0,1.0,1.0,0.0,0,0.0,0,1,23
0,0,3,-1,0,3.0,6.0,6.0,0.0,0,0.0,0,0,23
1,3,3,0,0,16.0,19.0,19.0,0.0,0,0.0,0,1,15
0,0,3,0,1,1.0,4.0,4.0,0.0,0,0.0,1,0,23
0,0,1,0,0,211.0,212.0,212.0,0.0,0,0.0,1,0,19
0,0,1,-1,1,1.0,2.0,2.0,0.0,0,0.0,1,0,1
0,0,3,-1,0,11.0,14.0,14.0,14.0,1,0.06666666666666667,1,0,15
1,1,1,0,0,0.0,1.0,1.0,1.0,1,0.5,0,1,1
0,0,3,0,1,0.0,3.0,3.0,0.0,0,0.0,1,0,32
0,0,3,-1,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,14
0,0,0,0,0,1.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,1,-1,0,0.0,1.0,1.0,1.0,1,0.5,0,0,23
1,1,1,0,0,6.0,7.0,7.0,0.0,0,0.0,1,0,1
0,0,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,1,0,1
0,0,3,1,0,-2.0,1.0,1.0,0.0,0,0.0,1,1,23
0,0,1,0,1,17.0,18.0,18.0,0.0,0,0.0,1,0,14
0,0,3,0,1,-1.0,2.0,2.0,0.0,0,0.0,0,1,23
1,3,3,0,0,6.0,9.0,9.0,0.0,0,0.0,0,0,25
0,0,3,-1,1,1.0,4.0,4.0,0.0,0,0.0,1,0,14
0,0,3,0,0,1133.0,1136.0,1136.0,0.0,0,0.0,1,0,1
0,0,0,1,1,0.0,0.0,0.0,0.0,0,0.0,0,1,20
1,0,0,0,1,1.0,1.0,1.0,1.0,1,0.5,1,1,19
1,3,3,0,0,-2.0,1.0,1.0,0.0,0,0.0,0,0,14
0,0,3,-1,0,44.0,47.0,47.0,0.0,0,0.0,0,0,23
0,0,1,0,0,3.0,4.0,4.0,4.0,1,0.2,1,0,23
1,3,3,0,1,6.0,9.0,9.0,0.0,0,0.0,0,0,23
1,0,0,-1,0,5.0,5.0,5.0,0.0,0,0.0,1,0,1
0,0,3,-1,0,58.0,61.0,61.0,0.0,0,0.0,1,0,1
1,5,5,-1,0,163.0,168.0,168.0,0.0,0,0.0,1,0,32
0,0,3,0,0,53.0,56.0,56.0,0.0,0,0.0,1,0,1
1,1,1,0,1,1.0,2.0,2.0,0.0,0,0.0,0,0,32
0,0,3,1,0,-3.0,0.0,0.0,0.0,0,0.0,0,1,5
0,0,3,0,0,53.0,56.0,56.0,0.0,0,0.0,1,0,1
1,0,0,1,1,6.0,6.0,6.0,0.0,0,0.0,0,1,5
0,0,3,-1,0,0.0,3.0,3.0,0.0,0,0.0,1,0,19
1,3,3,-1,1,12.0,15.0,15.0,0.0,0,0.0,0,0,23
0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0,8
0,0,1,0,1,0.0,1.0,1.0,0.0,0,0.0,0,0,23
0,0,0,-1,0,1.0,1.0,1.0,0.0,0,0.0,0,0,23
